id;nom;groupe;amendements_adoptes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;
1;Guy Teissier;UMP;0;1;16;4;0;0;0;7;0;0;0;2;
2;Jean Proriol;UMP;2;27;0;6;4;2;0;2;1;0;0;2;
3;Sandrine Hurel;SRC;0;0;0;1;0;0;0;0;3;0;0;1;
5;Pierre-Christophe Baguet;UMP;0;0;0;2;0;0;0;0;0;0;0;1;
6;Fabienne Labrette-Ménager;UMP;0;0;6;3;18;57;0;0;1;0;0;3;
7;Gilles Cocquempot;SRC;0;0;1;2;0;0;0;0;0;0;0;1;
8;Jean-Louis Léonard;UMP;6;13;26;6;1;0;0;0;0;1;0;2;
9;Josette Pons;UMP;1;4;1;2;0;0;0;5;0;0;0;2;
10;Claude Goasguen;UMP;0;1;0;1;0;5;1;4;2;0;0;1;
11;François Grosdidier;UMP;3;29;19;3;0;2;0;3;5;0;0;2;
12;Gilles Carrez;UMP;0;0;20;4;0;1;0;0;0;0;0;3;
13;Daniel Spagnou;UMP;1;17;2;4;1;1;0;6;0;0;0;2;
14;Alfred Trassy-Paillogues;UMP;2;8;0;1;0;0;0;0;5;0;0;1;
16;Françoise Hostalier;UMP;1;4;1;2;0;0;0;8;3;0;0;2;
17;Lionel Tardy;UMP;9;34;0;4;49;34;0;2;5;0;0;2;
18;Edwige Antier;UMP;0;0;1;5;0;0;0;2;0;0;0;2;
20;Anne Grommerch;UMP;0;0;0;5;0;0;0;2;0;0;0;2;
21;Guy Geoffroy;UMP;0;9;0;2;14;15;1;5;0;0;0;2;
22;Chantal Berthelot;SRC;0;37;1;2;0;0;0;0;2;0;0;1;
23;Pierre Morel-A-L'Huissier;UMP;7;30;3;3;36;50;0;10;30;0;1;1;
24;Didier Julia;UMP;0;1;1;1;0;0;0;3;1;0;0;1;
25;Danièle Hoffman-Rispal;SRC;0;0;0;3;0;0;0;0;1;0;0;2;
26;Paul Jeanneteau;UMP;2;5;0;5;0;0;0;3;2;0;0;2;
27;Jacques Alain Bénisti;UMP;0;0;1;3;1;7;0;6;0;0;0;1;
28;Jean Grellier;SRC;3;58;0;1;4;0;0;0;5;0;0;1;
29;Jean-Louis Touraine;SRC;0;0;0;3;10;0;0;0;0;0;0;1;
31;Annick Lepetit;SRC;2;35;0;2;0;0;0;0;1;0;0;2;
33;Yves Durand;SRC;2;22;1;2;15;14;0;0;0;0;0;2;
34;Louis Giscard d'Estaing;UMP;0;0;82;10;0;0;0;0;1;0;0;2;
35;Joëlle Ceccaldi-Raynaud;UMP;0;2;0;1;0;0;0;5;49;0;0;1;
36;François Goulard;UMP;0;0;1;2;5;11;0;2;0;0;0;2;
37;François Deluga;SRC;0;2;0;1;0;0;0;0;2;0;0;1;
41;Manuel Valls;SRC;0;0;1;1;0;0;0;0;1;0;0;1;
42;François-Michel Gonnot;UMP;0;4;0;1;2;2;0;5;1;0;0;1;
43;François Asensi;GDR;1;92;0;1;1;0;0;0;2;1;0;1;
45;Armand Jung;SRC;2;31;0;1;0;0;0;0;2;0;0;1;
46;François Cornut-Gentille;UMP;0;0;5;1;0;0;0;0;2;0;1;1;
47;Christophe Guilloteau;UMP;0;1;0;3;0;0;0;2;11;0;0;2;
48;Bernard Cazeneuve;SRC;0;0;6;2;0;0;0;1;2;0;1;1;
49;Marie-Renée Oget;SRC;0;0;0;10;0;0;0;0;1;0;0;2;
51;Pierre Moscovici;SRC;0;0;0;1;0;0;0;1;1;0;0;1;
52;Christiane Taubira;SRC;0;0;0;1;1;0;0;0;1;1;0;1;
53;Yves Deniaud;UMP;0;1;13;6;0;0;0;0;0;0;0;2;
54;Pierre Frogier;UMP;0;0;0;1;0;0;0;0;0;0;0;1;
55;Pierre Lasbordes;UMP;3;13;28;7;0;0;0;0;6;0;0;2;
56;Philippe Vuilque;SRC;0;0;0;1;0;0;0;0;6;0;0;1;
57;Jean-Claude Flory;UMP;0;0;0;1;0;0;0;0;40;0;0;1;
58;Christian Vanneste;UMP;3;24;3;2;8;9;0;4;6;0;0;2;
59;Pierre Gosnat;GDR;1;92;0;0;0;1;0;0;0;0;0;1;
60;André Vézinhet;SRC;0;0;4;2;2;0;0;0;1;1;0;2;
61;Pascale Got;SRC;3;58;0;2;0;0;0;0;0;0;0;1;
62;Michel Hunault;NC;0;0;1;1;0;0;0;1;13;0;0;1;
63;Éric Ciotti;UMP;0;0;0;1;0;0;0;1;0;0;0;1;
64;Jean-Claude Guibal;UMP;0;4;4;4;0;0;0;5;3;0;0;2;
65;Bernard Perrut;UMP;3;6;13;7;1;0;0;7;28;1;0;2;
66;Michèle Tabarot;UMP;0;0;24;3;3;1;0;0;0;0;0;2;
67;Nicolas Perruchot;NC;0;9;0;2;0;0;0;3;0;0;0;1;
68;Jean-Marie Sermier;UMP;1;4;5;3;0;0;0;5;1;0;0;2;
69;Marc Dolez;GDR;1;92;0;1;0;0;0;1;2;0;0;1;
71;Jacques Kossowski;UMP;0;16;1;3;0;0;0;1;0;0;0;2;
72;Jacques Pélissard;UMP;0;15;0;2;0;0;0;2;1;0;0;2;
73;Jean-Pierre Kucheida;SRC;0;0;1;2;0;1;0;0;0;0;0;1;
74;Michel Ménard;SRC;0;0;0;3;9;4;0;0;6;0;0;3;
75;Michel Sainte-Marie;SRC;0;0;0;2;0;0;0;0;0;0;0;2;
76;Daniel Fasquelle;UMP;4;23;0;3;3;3;0;10;0;0;0;3;
78;François Hollande;SRC;0;0;4;2;0;0;0;1;0;0;0;2;
79;Huguette Bello;GDR;0;20;0;0;17;11;0;0;2;2;0;2;
80;Jean-Louis Christ;UMP;0;0;1;4;0;0;0;3;4;0;0;2;
83;Michel Herbillon;UMP;0;3;3;1;0;0;0;5;1;0;0;1;
85;Christophe Caresche;SRC;2;32;13;5;1;0;0;0;1;1;0;2;
86;Catherine Génisson;SRC;0;0;9;6;0;0;0;0;2;0;0;2;
87;Christian Paul;SRC;0;0;1;2;0;0;0;0;0;0;0;1;
88;François Loncle;SRC;0;0;4;3;0;0;0;0;1;0;0;1;
89;Alain Marc;UMP;0;0;1;3;0;0;0;2;4;0;0;1;
90;Franck Reynier;UMP;0;0;7;3;0;0;0;1;2;0;1;2;
92;Gérard Gaudron;UMP;0;12;0;3;7;1;0;1;0;0;0;2;
93;Laure de La Raudière;UMP;6;19;0;2;0;0;0;3;3;0;0;1;
94;Germinal Peiro;SRC;3;58;0;1;2;0;0;0;3;1;0;2;
96;Jean-Luc Préel;NC;0;0;5;6;0;0;0;1;3;0;0;2;
97;Élisabeth Guigou;SRC;0;0;3;2;0;0;0;1;2;0;0;2;
98;Yves Censi;UMP;3;4;2;3;6;19;0;0;0;0;0;3;
99;Jean-Patrick Gille;SRC;2;18;4;6;16;10;0;0;4;1;0;2;
100;Michel Heinrich;UMP;0;4;3;5;0;0;0;1;1;0;0;2;
101;Alain Claeys;SRC;0;1;109;10;0;0;0;1;0;0;0;2;
102;Geneviève Levy;UMP;0;2;0;1;0;0;0;4;0;0;0;1;
103;Michel Delebarre;SRC;0;1;3;1;0;0;0;0;1;0;0;1;
104;Yves Albarello;UMP;0;8;1;4;2;1;0;1;0;0;0;2;
105;Gaël Yanno;UMP;0;0;0;3;0;0;0;1;0;0;0;1;
106;Pascale Crozon;SRC;0;0;9;4;0;0;0;1;2;0;0;2;
107;Dominique Le Mèner;UMP;0;0;2;4;0;0;0;2;4;0;0;2;
109;Céleste Lett;UMP;0;0;0;6;0;0;0;0;0;0;0;2;
112;Patrick Ollier;UMP;2;2;4;4;41;89;0;0;0;0;0;3;
113;Michel Zumkeller;UMP;5;26;0;2;3;1;4;6;3;1;0;2;
114;Patrice Calméjane;UMP;1;10;0;2;2;2;0;3;5;1;0;2;
116;Olivier Dassault;UMP;0;0;0;1;0;0;0;1;2;0;0;1;
117;Jean-Yves Le Bouillonnec;SRC;3;64;0;0;29;2;0;1;4;0;0;1;
118;Catherine Quéré;SRC;2;54;0;3;0;0;0;1;6;0;0;2;
